year,beta_Mkt_RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_Mom,mom_12_1,rev_1,rvol_12,macro_term_spread,macro_credit_spread,macro_vix,macro_inflation
2009,0.0,0.06522271,0.0,0.021395471,0.09629551,0.24630454,0.0,0.025339471,0.2408646,0.21757099,0.08700673,0.0,0.0
2010,0.0,0.06542453,0.0,0.029090637,0.08084004,0.26827502,0.0,0.035657305,0.29663056,0.20606287,0.01801908,0.0,0.0
2011,0.0,0.09300329,0.0,0.03897055,0.07607083,0.31457147,0.0,0.039349753,0.38420987,0.03176481,0.022059344,0.0,0.0
2012,0.0,0.09739786,0.0,0.041856796,0.07487522,0.2785206,0.0,0.03811323,0.41343775,0.032259088,0.023539525,0.0,0.0
2013,0.0,0.100605875,0.0,0.039195225,0.097434185,0.28798717,0.0,0.0437772,0.37390858,0.033548426,0.023543376,0.0,0.0
2014,0.0,0.08973146,0.0,0.036694746,0.11520416,0.26465175,0.0,0.05185077,0.38471586,0.0346715,0.022479812,0.0,0.0
2015,0.0,0.11029727,0.0,0.03816945,0.08420929,0.28254673,0.0,0.038659666,0.3542893,0.038166102,0.053662248,0.0,0.0
2016,0.0,0.095038526,0.0,0.04148998,0.11233382,0.26296172,0.0,0.03984691,0.3746456,0.037463114,0.03622035,0.0,0.0
2017,0.0,0.086060874,0.0,0.039079383,0.11937295,0.26972786,0.0,0.04282144,0.38679346,0.033924226,0.022219751,0.0,0.0
2018,0.0,0.112563565,0.0,0.035947952,0.106241725,0.29970872,0.0,0.03276336,0.36286157,0.030769316,0.019143846,0.0,0.0
2019,0.0,0.1314221,0.0,0.03350404,0.10293565,0.3070991,0.0,0.03613593,0.33889955,0.030954164,0.01904942,0.0,0.0
2020,0.0,0.11368844,0.0,0.03223708,0.11120775,0.28478625,0.0,0.038039126,0.34321293,0.032639943,0.044188447,0.0,0.0
2021,0.0,0.105993085,0.0,0.034329686,0.119819015,0.2446015,0.0,0.06585852,0.37041885,0.035532426,0.023446908,0.0,0.0
2022,0.0,0.10994644,0.0,0.038653348,0.12515226,0.24826238,0.0,0.05023003,0.36871848,0.036195517,0.022841642,0.0,0.0
2023,0.0,0.1144843,0.0,0.035780076,0.11467249,0.28353772,0.0,0.041607924,0.35617298,0.033932913,0.01981159,0.0,0.0
